Elephant_seal_ID,Sex,ProcedureDate,ForagingBloodPairedSubset,ForagingHairPairedSubset,ForagingMusclePairedSubset,FastingBloodPairedSubset,FastingHairPairedSubset,FastingMusclePairedSubset,Foraging_Trip,TimePeriod_Cross_Foraging_Analysis,Fasting_Period,TimePeriod_Cross_Fasting_Analysis,Mass_Procedure_kg,Standard_Length_cm,Blood_THg_ppm_ww,Muscle_THg_ppm_dw,Hair_THg_ppm_dw
VX358,Female,4/7/12,Yes,Yes,Yes,No,No,No,Post-breeding foraging trip,Post-foraging,NA,NA,423,265,0.39,6.68,10.81
WX467,Female,5/20/12,Yes,Yes,Yes,No,No,No,Post-breeding foraging trip,Post-foraging,NA,NA,401,271,0.63,7.93,16.21
2024,Female,2/8/12,Yes,Yes,No,No,No,No,Post-breeding foraging trip,Pre-foraging,NA,NA,300,249,1.07,NA,18.63
6377,Male,2/26/12,No,No,No,Yes,Yes,Yes,NA,NA,Breeding,Last fasting,NA,389,0.91,7.07,9.4
6379,Male,2/26/12,Yes,Yes,No,Yes,Yes,No,Post-breeding foraging trip,Pre-foraging,Breeding,Last fasting,NA,380,0.25,NA,3.51
6381,Male,2/20/12,No,No,No,No,Yes,Yes,NA,NA,Breeding,Last fasting,NA,418,NA,9.49,6.4
6384,Male,3/3/12,Yes,Yes,No,Yes,Yes,Yes,Post-breeding foraging trip,Pre-foraging,Breeding,Last fasting,NA,373,0.92,10.77,17
6387,Male,3/4/12,No,No,No,Yes,Yes,Yes,NA,NA,Breeding,Last fasting,NA,422,1.21,12.53,38.45
6421,Male,2/28/12,No,No,No,Yes,Yes,No,NA,NA,Breeding,Last fasting,NA,404,1.27,8.41,14.99
R382,Female,2/3/12,Yes,Yes,Yes,No,No,No,Post-breeding foraging trip,Pre-foraging,NA,NA,448,294,0.81,5.79,19.01
T693,Female,2/22/12,Yes,Yes,Yes,No,No,No,Post-breeding foraging trip,Pre-foraging,NA,NA,360,259,0.47,5.58,16.11
T750,Female,1/30/12,Yes,Yes,No,No,No,No,Post-breeding foraging trip,Pre-foraging,NA,NA,365,271,0.68,NA,18.3
U142,Female,2/18/12,Yes,Yes,Yes,No,No,No,Post-breeding foraging trip,Pre-foraging,NA,NA,332,264,0.52,4.53,10.75
U155,Female,2/10/12,Yes,Yes,Yes,No,No,No,Post-breeding foraging trip,Pre-foraging,NA,NA,393,244,0.28,2.73,12.12
U20,Female,2/17/12,Yes,Yes,Yes,No,No,No,Post-breeding foraging trip,Pre-foraging,NA,NA,296,252,0.57,4.9,9.24
U239,Female,2/16/12,Yes,Yes,Yes,No,No,No,Post-breeding foraging trip,Pre-foraging,NA,NA,344,264,0.73,6.2,23.86
U444,Female,2/9/12,Yes,Yes,No,No,No,No,Post-breeding foraging trip,Pre-foraging,NA,NA,314,256,0.51,NA,15.09
U479,Female,1/31/12,Yes,Yes,Yes,No,No,No,Post-breeding foraging trip,Pre-foraging,NA,NA,299,249,0.77,5.28,17.23
